id,dominio,secao,conteudo,nivel_acesso
13,cartao_credito,programa_pontos,"O programa Bytebank Rewards concede 1 ponto por real gasto no cartão Silver, 1,5 pontos no Gold e 2 pontos no Platinum. Pontos expiram em 24 meses após a data de acúmulo.",publico
14,suporte,canais,"O Bytebank oferece atendimento via chat no aplicativo (24h), e-mail suporte@bytebank.com.br (resposta em até 24h úteis), telefone 0800-123-4567 (seg a sex 8h-20h) e agências físicas em capitais.",publico
15,suporte,canais,"Reclamações formais devem ser registradas na ouvidoria pelo e-mail ouvidoria@bytebank.com.br ou pelo telefone 0800-765-4321. O prazo de resposta da ouvidoria é de até 10 dias úteis.",publico
16,suporte,sla,"Chamados de prioridade crítica (fraude, bloqueio indevido) devem ser resolvidos em até 4 horas. Chamados de prioridade alta (erro em transação) em até 24 horas. Chamados de prioridade média em até 72 horas.",interno
17,suporte,sla,"Chamados de prioridade baixa (dúvidas gerais, solicitação de segunda via) possuem SLA de até 5 dias úteis. Chamados não resolvidos no prazo são escalados automaticamente para a coordenação.",interno
18,rh,home_office,"A política de trabalho remoto do Bytebank permite até 3 dias de home office por semana para áreas administrativas e tecnologia. Áreas de atendimento presencial seguem escala definida pela gestão.",interno
19,rh,home_office,"Equipamentos para home office (notebook, monitor, cadeira ergonômica) são fornecidos pelo banco mediante assinatura de termo de responsabilidade. A devolução deve ocorrer em até 5 dias úteis após desligamento.",interno
20,rh,ferias,"Férias devem ser solicitadas com antecedência mínima de 30 dias. O fracionamento é permitido em até 3 períodos, sendo que nenhum pode ser inferior a 5 dias corridos conforme legislação vigente.",interno
21,rh,ferias,"Colaboradores com menos de 12 meses de contrato não possuem direito a férias proporcionais em caso de pedido de demissão, exceto nos casos previstos em convenção coletiva.",interno
22,rh,codigo_conduta,"Todos os colaboradores devem seguir o Código de Conduta Bytebank que proíbe uso de informações privilegiadas, conflito de interesses e qualquer forma de discriminação. Violações são apuradas pelo Comitê de Ética.",interno
23,rh,codigo_conduta,"O uso de dispositivos pessoais para acessar sistemas internos é permitido apenas com autenticação multifator (MFA) e mediante instalação do software de segurança corporativo Bytebank Shield.",interno
24,seguranca,autenticacao,"O acesso ao aplicativo Bytebank requer autenticação biométrica (digital ou facial) ou senha de 6 dígitos. Após 5 tentativas incorretas, a conta é bloqueada por 30 minutos.",publico
25,seguranca,autenticacao,"Transações acima de R$5.000 exigem confirmação adicional via token enviado por SMS ou e-mail cadastrado. O token expira em 5 minutos.",publico
26,seguranca,lgpd,"O Bytebank coleta e processa dados pessoais em conformidade com a LGPD (Lei 13.709/2018). O encarregado de dados (DPO) pode ser contatado pelo e-mail dpo@bytebank.com.br.",publico
27,seguranca,lgpd,"Dados de clientes são armazenados em servidores localizados no Brasil com criptografia AES-256. Backups são realizados diariamente e retidos por 5 anos conforme exigência regulatória do Banco Central.",interno
28,seguranca,lgpd,"Solicitações de exclusão de dados pessoais (direito ao esquecimento) são processadas em até 15 dias úteis. Dados necessários para cumprimento de obrigações legais são mantidos pelo prazo regulatório.",publico
29,seguranca,fraude,"O sistema antifraude do Bytebank utiliza machine learning para detectar transações suspeitas em tempo real. Transações bloqueadas geram notificação push e SMS ao cliente.",publico
30,seguranca,fraude,"Clientes que identificarem transações não reconhecidas devem contestar em até 48 horas pelo aplicativo. O estorno provisório é realizado em até 2 dias úteis enquanto a investigação é conduzida.",publico
31,conta_corrente,pix,"Chaves Pix podem ser cadastradas usando CPF, e-mail, telefone ou chave aleatória. O limite de cadastro é de 5 chaves por conta. Transferências Pix são processadas em até 10 segundos.",publico
32,conta_corrente,pix,"O limite de transferência via Pix no período noturno (20h às 6h) é de R$1.000 por transação. O cliente pode solicitar aumento do limite noturno pelo aplicativo com prazo de ativação de 24 horas.",publico
33,conta_corrente,emprestimo,"O Bytebank oferece empréstimo pessoal com taxas a partir de 1,49% ao mês. A simulação pode ser feita pelo aplicativo. A aprovação é sujeita a análise de crédito e o valor é creditado em até 1 dia útil.",publico
34,conta_corrente,emprestimo,"Clientes com score interno abaixo de 400 pontos não são elegíveis para empréstimo pessoal. Clientes com score entre 400 e 600 possuem limite máximo de R$10.000 com taxa de 2,99% ao mês.",interno
35,cartao_credito,internacional,"Compras internacionais no cartão de crédito Bytebank utilizam a cotação do dólar comercial do dia do fechamento da fatura acrescida de IOF de 6,38% e spread cambial de 4%.",publico
36,cartao_credito,internacional,"O cartão Platinum inclui seguro viagem internacional com cobertura de até USD 100.000 para despesas médicas. A ativação é automática ao comprar passagens aéreas com o cartão.",publico
37,suporte,reclamacao,"Reclamações não resolvidas pela ouvidoria podem ser direcionadas ao Banco Central pelo site consumidor.gov.br ou pelo telefone 145. O Bytebank se compromete a responder em até 10 dias úteis.",publico
38,suporte,reclamacao,"O índice de resolução de reclamações do Bytebank no Banco Central deve ser mantido acima de 80%. Áreas com índice abaixo dessa meta recebem plano de ação obrigatório da diretoria.",interno
39,seguranca,incidentes,"Incidentes de segurança da informação devem ser reportados imediatamente ao CSIRT (Computer Security Incident Response Team) pelo canal interno csirt@bytebank.com.br ou ramal 9999.",interno
40,seguranca,incidentes,"Vazamentos de dados pessoais devem ser comunicados à ANPD (Autoridade Nacional de Proteção de Dados) em até 72 horas conforme Art. 48 da LGPD. O DPO é responsável pela comunicação oficial.",interno
41,conta_corrente,investimentos,"O Bytebank Investimentos oferece CDB, LCI, LCA, fundos de investimento e Tesouro Direto. Aplicações em CDB possuem liquidez diária e rendimento de 100% do CDI para valores acima de R$1.000.",publico
42,conta_corrente,investimentos,"Clientes Premium têm acesso a fundos exclusivos com taxa de administração reduzida de 0,3% ao ano e assessoria personalizada de investimentos via videochamada agendada pelo aplicativo.",interno
43,rh,treinamento,"O Bytebank oferece programa de capacitação contínua com orçamento anual de R$5.000 por colaborador para cursos, certificações e eventos. A aprovação é feita pela liderança direta.",interno
44,rh,treinamento,"Colaboradores da área de tecnologia e dados possuem acesso a plataformas de aprendizado online (Alura, Coursera) custeadas integralmente pelo banco, sem limite de cursos.",interno
45,cartao_credito,fatura,"A fatura do cartão de crédito é disponibilizada no aplicativo até o dia 5 de cada mês. O vencimento padrão é dia 15, podendo ser alterado para os dias 1, 5, 10, 15, 20 ou 25.",publico
46,cartao_credito,fatura,"O pagamento mínimo da fatura é de 15% do valor total. O não pagamento do valor mínimo até a data de vencimento gera juros de 14% ao mês mais multa de 2% sobre o saldo devedor.",publico
47,seguranca,senhas,"Senhas de acesso ao internet banking devem conter no mínimo 8 caracteres incluindo letras maiúsculas, minúsculas, números e caracteres especiais. A troca obrigatória ocorre a cada 90 dias.",publico
48,seguranca,senhas,"Colaboradores que acessam sistemas críticos (core banking, base de dados de clientes) devem utilizar autenticação multifator com token físico além da senha. Tokens são renovados anualmente.",interno
49,conta_corrente,portabilidade,"O Bytebank aceita portabilidade de salário de qualquer instituição financeira. A solicitação é feita pelo aplicativo e processada em até 5 dias úteis conforme regulamentação do Banco Central.",publico
50,conta_corrente,portabilidade,"Clientes que realizarem portabilidade de salário para o Bytebank recebem bônus de R$100 creditado na conta após o primeiro depósito de salário. Promoção válida para novos clientes.",publico
