id_caso,tipo_caso,nivel_acesso,pergunta,gabarito,resposta_sem_rag,resposta_com_rag,fontes_rag,modo_sem_rag,modo_reranking,modo_recuperacao,modo_com_rag,modo_juiz,provedor_gerador,modelo_gerador,metricas_gerador,provedor_juiz,modelo_juiz,metricas_juiz,acerto_sem_rag,nota_sem_rag,justificativa_sem_rag,acerto_com_rag,nota_com_rag,justificativa_com_rag,fallbacks
11,parafrase,publico,Quanto pago por ano no cartão Platinum?,"R$59,90","Como o Bytebank deste exercício é fictício e não tenho informações sobre as regras específicas dele, não há informação suficiente para responder quanto é pago por ano no cartão Platinum. Não é possível inventar uma regra bancária.","O cartão Platinum possui uma anuidade de R$ 59,90 mensais [id=9]. Calculando o valor anual (multiplicando a mensalidade por 12), o total pago por ano é de R$ 718,80, sendo este valor isentável caso ocorram gastos acima de R$ 5.000 no mês [id=9].","id=9, id=13, id=36, id=45",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=34; retries=1; latency_ms=38860,gemini,gemini-3.5-flash-lite,requests=27; retries=5; latency_ms=20787,não,0,"A resposta avaliada afirma que não há informações suficientes e se recusa a responder, enquanto o gabarito fornece explicitamente o valor da anuidade (R$ 59,90).",não,0,"A resposta avaliada contradiz o gabarito ao afirmar que a anuidade é cobrada de forma mensal no valor de R$59,90 (resultando em um valor anual de R$718,80), enquanto o gabarito estabelece que o valor é de R$59,90 por ano.",
12,parafrase,publico,Até quanto posso usar no cartão Gold?,R$20.000,"Não há informação suficiente no meu conhecimento geral para responder a essa pergunta, pois o limite do cartão Gold depende da análise de crédito, da renda e das políticas específicas de cada instituição financeira (e o Bytebank é uma empresa fictícia). Portanto, não é possível inventar uma regra bancária sobre o valor.",O limite máximo do cartão Gold é R$20.000 [id=11]. O limite inicial exato é definido pela análise de crédito [id=11].,"id=11, id=9, id=13, id=7",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=39; retries=3; latency_ms=42483,gemini,gemini-3.5-flash-lite,requests=29; retries=5; latency_ms=22536,não,0,"A resposta avaliada afirma que não há informação suficiente para responder e menciona que o limite depende de análise, falhando em fornecer o valor específico de R$20.000 presente no gabarito.",sim,100,"A resposta fornecida atinge o fato central do gabarito (R$20.000), fornece contexto adicional correto sem contradizer a informação principal e inclui a citação da fonte no formato exigido.",
13,parafrase,publico,Como aviso uma compra que não reconheço?,em até 48 horas pelo aplicativo,"Como o Bytebank deste exercício é fictício e não tenho acesso a documentos ou políticas dessa instituição, não há informação suficiente para detalhar o procedimento específico deles.

No entanto, de forma geral no setor bancário brasileiro, caso você não reconheça uma compra, o procedimento padrão costuma ser:

1. **Entrar em contato com o banco imediatamente** por meio do aplicativo oficial, chat de atendimento ou central telefônica (geralmente há um número no verso do cartão).
2. **Informar a transação suspeita** para que o atendente possa bloquear o cartão preventivamente e iniciar a contestação (chargeback) da compra.
3. **Acompanhar a análise** que o banco fará do caso.

Para saber o passo a passo exato do Bytebank, seria necessário consultar os canais oficiais de atendimento da instituição.","Para avisar sobre uma compra que você não reconhece, você deve contestá-la diretamente pelo aplicativo em até 48 horas após a identificação [id=30]. Após a contestação, será realizado um estorno provisório em até 2 dias úteis enquanto a investigação é conduzida [id=30].","id=30, id=37, id=2, id=36",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=42; retries=3; latency_ms=46170,gemini,gemini-3.5-flash-lite,requests=31; retries=5; latency_ms=24222,não,0,"A resposta avaliada falha em fornecer a informação central presente no gabarito, que indica o prazo de até 48 horas pelo aplicativo, focando em considerações genéricas sobre o setor bancário.",sim,100,"A resposta contém todas as informações essenciais do gabarito (prazo de até 48 horas e o canal pelo aplicativo), é semanticamente equivalente, não apresenta contradições e inclui a citação da fonte no formato exigido.",
14,parafrase,publico,Em quantos dias meus dados pessoais são apagados?,15 dias úteis,"Como o Bytebank deste exercício é fictício e não tenho acesso a documentos ou políticas dessa instituição, não há informação suficiente para responder em quantos dias seus dados pessoais são apagados. Não devo inventar uma regra bancária.","As solicitações de exclusão de dados pessoais são processadas em até 15 dias úteis [id=28]. No entanto, os dados que forem necessários para o cumprimento de obrigações legais são mantidos pelo prazo regulatório [id=28].","id=28, id=26, id=30, id=45",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=45; retries=3; latency_ms=49186,gemini,gemini-3.5-flash-lite,requests=33; retries=5; latency_ms=25799,não,0,"A resposta avaliada falhou em fornecer o fato central do gabarito (15 dias úteis) e afirmou incorretamente que não havia informação suficiente, apesar de o gabarito ter sido fornecido na instrução.",sim,100,"A resposta avaliada informa corretamente que o prazo para exclusão de dados é de 15 dias úteis, sendo semanticamente equivalente ao gabarito, e cita a fonte corretamente no formato exigido [id=28].",
15,parafrase,publico,A ouvidoria responde em qual prazo?,10 dias úteis,"Com base no conhecimento geral sobre o funcionamento de ouvidorias de instituições financeiras no Brasil (regulamentadas pelo Banco Central), o prazo padrão para resposta costuma ser de até 10 dias úteis.

No entanto, como o Bytebank deste exercício é fictício e não há informações específicas fornecidas sobre as regras internas ou políticas dessa instituição, não é possível afirmar com exatidão qual é o prazo exato aplicado por ele.","O prazo de resposta da ouvidoria é de até 10 dias úteis [id=15, id=37].","id=15, id=37, id=30, id=28",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=3; retries=0; latency_ms=3312,gemini,gemini-3.5-flash-lite,requests=2; retries=0; latency_ms=2437,sim,100,"A resposta identificou corretamente o prazo padrão de 10 dias úteis, mesmo considerando o contexto fictício do exercício, o que demonstra precisão factual em relação ao gabarito.",sim,100,"A resposta fornecida está semanticamente equivalente ao gabarito, informando corretamente o prazo de 10 dias úteis e incluindo as devidas citações de fontes no formato exigido.",
16,parafrase,publico,Qual é o teto do Pix durante a noite?,R$1.000 por transação,"Com base apenas no meu conhecimento geral sobre o sistema Pix no Brasil (regulado pelo Banco Central), o teto para transferências Pix durante o horário noturno (geralmente das 20h às 6h) é de **R$ 1.000,00**, por padrão.

No entanto, como o Bytebank deste exercício é fictício e não há informações específicas sobre as regras internas desse banco fornecidas no enunciado, não é possível afirmar se o Bytebank segue exatamente esse limite padrão ou se adota uma regra própria.",O limite de transferência via Pix no período noturno (das 20h às 6h) é de R$ 1.000 por transação [id=32].,"id=32, id=31, id=12, id=46",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=6; retries=0; latency_ms=6325,gemini,gemini-3.5-flash-lite,requests=4; retries=0; latency_ms=4422,sim,100,"A resposta fornecida acerta o valor central do fato (R$ 1.000,00) conforme o gabarito. A menção a um contexto fictício não invalida a resposta factual correta dada para o Pix real.",sim,100,"A resposta fornecida está totalmente correta, traz o valor exato do teto do Pix durante a noite conforme o gabarito, inclui detalhes adicionais corretos sobre o horário e cita a fonte no formato exigido.",
17,multifonte,publico,Quais documentos e qual canal são usados para abrir uma conta?,"CPF válido, comprovante de residência e documento de identidade","Com base apenas no conhecimento geral sobre o funcionamento de bancos e considerando que o Bytebank é uma instituição fictícia deste exercício, não há informações suficientes no meu conhecimento para especificar exatamente quais documentos e qual canal são exigidos por ele, pois cada instituição possui suas próprias regras.

Geralmente, no setor bancário em geral, são solicitados documento de identidade com foto (RG ou CNH), CPF e comprovante de residência, através de canais digitais (como aplicativo) ou presenciais, mas não é possível afirmar as regras específicas do Bytebank sem inventar informações.","Com base no contexto fornecido, não há informações sobre qual canal (por exemplo, aplicativo ou agência) é utilizado para abrir uma conta. Portanto, não encontrei evidência suficiente para responder sobre o canal de abertura.

No entanto, em relação aos documentos necessários para abrir uma conta corrente no Bytebank, é preciso apresentar CPF válido, comprovante de residência emitido nos últimos 90 dias e documento de identidade com foto [id=1].","id=1, id=2, id=5, id=3",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=9; retries=0; latency_ms=10322,gemini,gemini-3.5-flash-lite,requests=6; retries=0; latency_ms=6890,não,40,"A resposta menciona corretamente os documentos gerais (identidade, CPF e comprovante de residência), mas falha ao não responder diretamente com base no gabarito e focar na ausência de informações sobre a instituição fictícia Bytebank, omitindo também a especificação clara do canal pedida na pergunta.",sim,90,"A resposta identificou corretamente os documentos listados no gabarito (CPF válido, comprovante de residência e documento de identidade), embora tenha adicionado detalhes válidos do contexto. No entanto, ela omitiu a resposta sobre o canal de abertura, mas justificou isso pela falta de informações no contexto, o que é aceitável em cenários de QA baseados em contexto. Além disso, citou corretamente a fonte no formato exigido [id=1].",
18,multifonte,publico,Qual cartão possui anuidade e qual é o valor?,"R$59,90","Não há informação suficiente no contexto para responder a essa pergunta, pois não possuo dados sobre os cartões, suas anuidades ou valores do Bytebank (que é uma instituição fictícia). Não inventarei regras bancárias.","Com base no contexto fornecido, os cartões que possuem anuidade são o Gold e o Platinum [id=9]. Os valores são os seguintes:

* O cartão Gold possui anuidade de R$ 29,90 mensais (isentável com gastos acima de R$ 2.000 no mês) [id=9].
* O cartão Platinum possui anuidade de R$ 59,90 mensais (isentável com gastos acima de R$ 5.000) [id=9].","id=9, id=7, id=12, id=36",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=14; retries=2; latency_ms=14914,gemini,gemini-3.5-flash-lite,requests=8; retries=0; latency_ms=9341,não,0,"A resposta avaliada falhou em fornecer o valor da anuidade presente no gabarito (R$59,90), alegando falta de informação, o que constitui uma omissão do fato central.",sim,100,"A resposta identifica corretamente o cartão que possui a anuidade de R$ 59,90 (Platinum), além de fornecer informações adicionais corretas sobre o cartão Gold e incluir a citação da fonte no formato exigido.",
19,multifonte,publico,Como contestar uma compra e qual o prazo?,em até 48 horas pelo aplicativo,"Como o Bytebank deste exercício é fictício e não temos acesso a documentos ou políticas reais dessa instituição, não há informação suficiente para detalhar o procedimento específico ou o prazo exato exigido pelo banco.

Em termos gerais no sistema bancário brasileiro, a contestação de uma compra (chargeback) geralmente é feita pelo aplicativo do banco, na seção de cartões ou extrato, selecionando a transação suspeita ou não reconhecida. Quanto ao prazo, ele costuma variar de acordo com as regras da bandeira do cartão e da instituição financeira, muitas vezes sendo de até 90 dias a partir da data da compra ou do conhecimento da fraude, mas é necessário consultar os termos do seu banco específico para confirmar a regra exata.","Para contestar uma compra não reconhecida, você deve realizar o procedimento pelo aplicativo em até 48 horas após identificar a transação [id=30].","id=30, id=12, id=15, id=29",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=17; retries=2; latency_ms=18428,gemini,gemini-3.5-flash-lite,requests=10; retries=0; latency_ms=11044,não,0,"A resposta avaliada falha em fornecer o gabarito correto (em até 48 horas pelo aplicativo), alegando falta de informações e fornecendo prazos gerais incorretos para o contexto da questão.",sim,100,"A resposta fornecida cobre perfeitamente o gabarito (48 horas pelo aplicativo), é semanticamente equivalente e inclui a citação da fonte no formato exigido.",
20,multifonte,publico,Como aciono a ouvidoria e quanto tempo ela leva?,10 dias úteis,"Como o Bytebank deste exercício é uma instituição fictícia e não tenho acesso a documentos ou políticas internas da empresa, não há informação suficiente para responder como acionar a ouvidoria do Bytebank nem qual é o prazo de atendimento dela. Para inventar essas regras bancárias, seria necessário consultar a documentação específica do exercício.","Para acionar a ouvidoria, você deve registrar sua reclamação formal pelo e-mail ouvidoria@bytebank.com.br ou pelo telefone 0800-765-4321 [id=15]. O prazo de resposta da ouvidoria é de até 10 dias úteis [id=15].","id=15, id=13, id=29, id=30",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini,gemini,gemini-3.5-flash-lite,requests=20; retries=2; latency_ms=21691,gemini,gemini-3.5-flash-lite,requests=12; retries=0; latency_ms=12873,não,0,"A resposta avaliada falha em fornecer o fato central presente no gabarito (o prazo de 10 dias úteis), alegando que a instituição é fictícia e não há informações, quando o gabarito define explicitamente a resposta esperada.",sim,100,"A resposta está correta, aborda como acionar a ouvidoria, menciona o prazo correto de 10 dias úteis exigido pelo gabarito e inclui a citação da fonte no formato solicitado [id=15].",
21,negativa,publico,Qual é a cotação do dólar comercial agora?,Não encontrei evidência suficiente,"Como sou um modelo de inteligência artificial e não tenho acesso à internet em tempo real ou a sistemas financeiros neste momento, não possuo a informação sobre a cotação atual do dólar comercial. Não há informação suficiente para responder.",Não encontrei evidência suficiente no contexto para informar a cotação atual do dólar comercial.,"id=35, id=36, id=45, id=12",gemini,gemini,chroma_embeddings+lexical_hybrid,gemini,gemini+local_deterministic,gemini,gemini-3.5-flash-lite,requests=23; retries=2; latency_ms=25237,gemini,gemini-3.5-flash-lite,requests=18; retries=4; latency_ms=14635,sim,100,"A resposta avaliada transmite corretamente a mesma ideia do gabarito (de que não há informação ou evidência suficiente para fornecer a cotação no momento atual), explicando de forma coerente o motivo.",sim,100,fato do gabarito encontrado,"juiz Gemini: ClientError: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.5-flash-lite\nPlease retry in 48.930393554s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.5-flash-lite'}, 'quotaValue': '15'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '48s'}]}}"
